participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10
0,4,6,10,4,0,0,0,0,0,0,0,1,,1,1,1
1,1,0,6,3,3,-1,1,1,1,-1,-1,,,,,
2,2,1,7,4,2,-1,1,1,1,0,-1,1,,,,
3,2,0,7,4,3,-1,1,1,-1,-1,1,1,,,,
4,3,0,7,1,4,-1,-1,0,1,0,-1,-1,,,,
5,4,0,7,1,1,0,1,0,0,0,-1,0,,,,
6,2,0,7,3,4,-1,1,1,-1,-1,-1,1,,,,
7,2,0,7,4,2,-1,1,1,1,0,-1,1,,,,
8,4,0,1,1,0,1,,,,,,,,,,
9,2,0,4,2,1,-1,,1,,0,,1,,,,
10,1,1,11,7,2,0,1,1,1,-1,1,-1,1,1,0,1
12,3,0,7,3,4,1,1,-1,1,-1,-1,-1,,,,
13,0,0,7,3,4,-1,-1,1,-1,1,-1,1,,,,
14,3,0,7,1,3,-1,1,0,0,0,-1,-1,,,,
16,1,0,7,3,3,0,1,1,1,-1,-1,-1,,,,
17,4,0,7,2,2,-1,0,1,1,0,-1,0,,,,
18,1,0,11,6,2,0,1,1,1,0,-1,-1,0,1,1,1
19,2,0,7,4,2,0,1,1,1,-1,-1,1,,,,
20,1,0,7,2,3,-1,0,1,1,0,-1,-1,,,,
21,3,0,7,2,5,-1,1,-1,1,-1,-1,-1,,,,
23,4,1,8,4,4,-1,1,-1,1,-1,-1,1,,,,1
25,2,0,7,3,0,0,0,1,1,0,0,1,,,,
27,2,0,9,6,1,0,1,1,1,-1,0,1,1,1,,
28,3,0,8,3,4,-1,,-1,1,0,-1,-1,1,1,,
29,2,0,9,7,2,1,1,1,1,1,-1,1,-1,1,,
30,0,0,7,3,4,-1,-1,-1,,-1,,1,,1,,1
31,3,0,11,5,5,-1,1,0,1,-1,-1,-1,-1,1,1,1
33,1,0,11,5,3,-1,1,1,1,1,-1,0,-1,1,0,0
34,4,0,11,3,1,0,1,0,0,0,-1,1,0,0,0,1
37,3,0,11,4,5,-1,0,0,1,-1,-1,-1,-1,1,1,1
38,0,0,11,5,6,1,-1,-1,-1,1,-1,1,1,1,-1,-1
39,3,0,11,4,5,-1,1,-1,0,0,-1,-1,1,1,-1,1
40,,0,4,0,2,-1,,0,,,,,-1,0,,
41,1,0,7,6,1,-1,1,1,1,,,,1,1,1,
42,2,0,11,5,2,0,0,1,0,-1,-1,1,1,1,1,0
43,,0,1,0,1,-1,,,,,,,,,,
45,0,0,11,2,5,-1,-1,-1,-1,0,-1,1,0,0,1,0
46,4,0,11,6,3,-1,-1,1,1,0,-1,1,1,1,0,1
26,,0,3,3,0,,1,,1,1,,,,,,
32,1,0,7,7,0,,1,1,1,,,,1,1,1,1
15,,0,5,2,0,,,1,1,0,0,0,,,,
35,,0,4,2,1,,,0,1,-1,,,,,,1
11,4,0,1,0,0,,,,0,,,,,,,
22,,0,1,0,1,,,,,,-1,,,,,
24,,2,3,2,1,,,,,,-1,,,1,1,
36,,0,3,3,0,,,,,,,,1,1,,1
44,,0,1,1,0,,,,,,,,,,1,
