comment_body,id,idx,n_agree,n_disagree,percentage
"台灣應該更積極開放外國人才？",1,3,20,1,95.23
"台灣政府對青年創業的支持很有限？",2,0,18,2,90
"創業不能靠政府，要靠自己",3,1,15,5,75
"中國大陸這兩年雖然分享經濟、知識經濟很火紅，但也可能是泡沫？",4,6,11,8,57.89
"「亞洲矽谷」政策對青創幫助有限？",5,4,9,7,56.25
"中國大陸政府對台灣青年創業的招手主要是為了統戰？",6,2,7,12,36.84
"台灣因為市場小，不適合網路產業創業？",7,5,2,17,10.52
