participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
122,1,0,9,5,1,0,,0,,,1,,1,0,,,-1,1,1,,1,,,
129,1,0,7,2,3,-1,,,-1,0,,,,,0,1,,-1,,1,,,,
130,,0,1,1,0,1,,,,,,,,,,,,,,,,,,
132,0,1,17,3,1,-1,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,1
133,0,0,16,12,4,1,,-1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,,
136,3,0,13,6,6,1,,-1,-1,0,1,-1,1,-1,1,1,-1,-1,1,,,,,
142,1,0,16,7,4,-1,,1,0,0,-1,-1,1,0,0,1,1,0,1,,-1,1,,1
143,1,0,16,7,0,0,,1,0,0,0,0,0,0,1,1,0,0,1,,1,1,,1
144,3,0,15,6,9,-1,,-1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1,,1,,,1
145,0,0,7,2,2,-1,,,,0,-1,,,0,0,1,,,,,1,,,
146,,0,5,4,1,-1,,,,,1,,1,,,,,,1,,,,,1
148,1,0,16,7,5,-1,,1,-1,0,1,-1,0,0,-1,1,0,1,1,,1,-1,,1
149,3,0,12,4,4,0,,,-1,0,1,-1,-1,0,0,1,-1,,1,,,,,1
38,,0,4,2,0,,,1,,0,,,1,0,,,,,,,,,,
39,,0,1,1,0,,,1,,,,,,,,,,,,,,,,
48,,0,5,3,2,,,1,,,,-1,-1,1,,1,,,,,,,,
59,,0,1,1,0,,,1,,,,,,,,,,,,,,,,
82,,0,4,3,0,,,0,,,,,1,,,1,,1,,,,,,
89,,0,5,2,1,,,1,0,,,,,,0,-1,,,1,,,,,
97,,0,1,1,0,,,1,,,,,,,,,,,,,,,,
98,,0,1,1,0,,,1,,,,,,,,,,,,,,,,
99,,0,2,1,1,,,-1,1,,,,,,,,,,,,,,,
107,,0,4,2,0,,,1,,0,,,,,,,1,0,,,,,,
120,1,0,10,4,1,,,1,0,0,1,-1,,0,0,,0,,1,1,,,,
123,,0,1,1,0,,,1,,,,,,,,,,,,,,,,
137,,0,1,1,0,,,1,,,,,,,,,,,,,,,,
147,,0,4,2,0,,,1,0,,,,,,,,,,1,,,0,,
12,,0,1,1,0,,,,1,,,,,,,,,,,,,,,
16,,0,1,1,0,,,,1,,,,,,,,,,,,,,,
43,,0,2,0,1,,,,0,,,,,,-1,,,,,,,,,
49,,0,4,2,0,,,,0,0,1,,,,,1,,,,,,,,
62,,0,4,0,0,,,,0,0,,0,,,,,0,,,,,,,
63,,0,1,1,0,,,,1,,,,,,,,,,,,,,,
70,,0,2,1,1,,,,-1,,1,,,,,,,,,,,,,
94,,0,1,0,0,,,,0,,,,,,,,,,,,,,,
140,,0,3,1,0,,,,0,0,,,,,,,,,,1,,,,
42,,0,2,0,1,,,,,0,-1,,,,,,,,,,,,,
61,,0,2,0,0,,,,,0,,0,,,,,,,,,,,,
76,,0,6,1,0,,,,,1,0,0,,0,0,,,0,,,,,,
124,,0,5,3,2,,,,,1,,-1,,-1,,,1,1,,,,,,
28,,0,1,0,1,,,,,,-1,,,,,,,,,,,,,
51,,0,3,3,0,,,,,,1,,1,,1,,,,,,,,,
55,,0,1,1,0,,,,,,1,,,,,,,,,,,,,
80,,0,2,0,0,,,,,,0,0,,,,,,,,,,,,
85,,0,1,1,0,,,,,,1,,,,,,,,,,,,,
125,,0,3,2,0,,,,,,0,1,,,,1,,,,,,,,
150,,0,2,0,2,,,,,,-1,-1,,,,,,,,,,,,
151,,0,1,1,0,,,,,,1,,,,,,,,,,,,,
41,,0,1,1,0,,,,,,,1,,,,,,,,,,,,
50,,0,2,0,2,,,,,,,-1,-1,,,,,,,,,,,
74,,0,1,0,1,,,,,,,-1,,,,,,,,,,,,
101,,0,2,1,1,,,,,,,-1,,,,,,1,,,,,,
111,,0,1,0,1,,,,,,,-1,,,,,,,,,,,,
126,,0,1,0,1,,,,,,,-1,,,,,,,,,,,,
134,,0,1,0,1,,,,,,,-1,,,,,,,,,,,,
