participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
101,,0,27,9,1,0,0,0,1,0,0,,1,0,0,0,1,0,0,,0,0,0,0,0,1,,1,1,1,1,0,,0,1,-1,,,,,,,,,,,,,,,
102,,1,44,17,12,1,0,0,1,1,0,-1,1,-1,0,0,-1,0,0,0,-1,0,1,0,0,1,0,1,-1,1,0,-1,1,1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,0,0,,1,
104,,0,3,0,0,0,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,0,32,18,9,-1,-1,-1,1,1,1,-1,1,-1,0,1,1,1,1,1,-1,0,-1,0,0,1,-1,1,1,1,1,-1,1,1,1,0,1,,,,,,,,,,,,,,
107,,0,17,3,1,0,0,0,,0,,,-1,1,1,0,0,,0,0,,,,,,,0,0,,0,,0,,0,,1,,,,,,,,,,,,,,,
108,,0,16,7,4,0,0,0,,,1,,1,-1,,,,0,1,,,,0,,,,-1,,1,,1,-1,1,,,-1,1,,,,,,,,,,,,,,
109,,0,23,10,7,1,,0,,-1,0,-1,,-1,-1,,1,1,0,0,1,1,,1,,1,-1,,0,1,,-1,,1,0,-1,1,,,,,,,,,,,,,,
110,,0,11,9,2,1,1,1,,,,,,,,,1,,1,,,,,1,1,-1,,-1,1,,,,,,1,,,,,,,,,,,,,,,,
115,,2,34,12,13,0,0,0,-1,-1,-1,1,-1,1,-1,1,-1,0,1,-1,0,-1,1,-1,1,0,0,1,1,-1,-1,1,1,0,-1,0,-1,1,1,,,,,,,,,,,,
116,,0,35,14,5,1,0,0,1,1,1,-1,1,-1,-1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,-1,1,0,1,-1,1,0,0,0,,,,,,,,,,,
117,,0,6,3,1,-1,,,,,,,,,1,,,0,,,,,,,,,,,0,1,,,,,1,,,,,,,,,,,,,,,,
119,,0,14,5,4,0,0,,,,,,,-1,1,1,,,0,0,,-1,-1,,,,0,-1,,,,1,,1,,,1,,,,,,,,,,,,,,
121,,1,46,32,7,1,1,1,1,1,1,-1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,1,-1,1,1,1,1,-1,1,1,1,1,0,-1,-1,-1,-1,1,1,1,1,1,1
125,,0,5,5,0,1,,,,,,,,,,,,,,1,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,
128,,0,10,3,2,1,0,,,,,,,,,,,,1,,,-1,,0,,0,,,0,,,-1,,,1,0,,,,,,,,,,,,,,,
129,,0,12,6,2,1,,,,0,0,-1,,-1,,,,,,,1,1,,,,1,0,1,,,,,1,0,,,,,,,,,,,,,,,,,
131,,5,21,19,1,1,,1,1,1,,,,,1,1,1,1,1,,1,,,,,1,-1,,1,,1,,,,1,0,,,,,1,1,1,1,1,,,,,,
134,,0,31,18,8,0,-1,-1,0,-1,,1,1,,1,,1,1,1,1,1,1,,1,1,1,,-1,1,1,0,0,1,,1,0,,-1,1,1,-1,,-1,,-1,,,,,,
137,,0,40,22,11,-1,-1,-1,1,1,1,0,1,-1,1,1,1,1,1,0,0,1,-1,1,1,1,-1,1,-1,1,0,1,1,1,1,0,1,0,1,1,-1,0,-1,-1,-1,,,,,,
140,,0,23,9,4,0,,,1,0,,,1,0,1,1,1,1,,,,,,1,1,,0,-1,,,0,,,0,1,0,,0,0,,-1,0,,-1,-1,,,,,,
142,,0,11,7,0,0,,,,,,,1,,0,,,,,0,,,,0,,1,,1,,1,1,,,,,,1,,1,,,,,,,,,,,,
144,,0,6,2,1,1,,,,,,,,,1,,,,,,,,0,,,,,,0,0,,,,,,,,,,,-1,,,,,,,,,,
146,,0,5,1,2,0,0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,-1,,,,,-1,,,,,,,,,,
151,,0,26,10,10,0,,0,1,,1,-1,1,0,0,,,,0,1,,,1,1,-1,,-1,1,,,-1,-1,1,0,,-1,1,-1,,1,-1,-1,-1,,,,,,,,
158,,0,20,8,6,1,,0,1,,1,-1,,,-1,,,0,,0,-1,,-1,1,0,,0,,0,1,,1,1,,,,,,1,,-1,,,-1,,,,,,,
161,,0,22,7,7,0,0,0,1,,,-1,1,-1,,,1,,1,,,,,0,-1,1,,,,1,,1,,0,0,-1,,,0,,-1,0,-1,,-1,,,,,,
163,,0,12,3,4,0,,0,,,,,1,-1,,0,,,,,,,,,,,-1,,,,1,,,,,,1,0,,,,0,-1,,-1,,,,,,
165,,0,7,4,1,1,,,,,,1,1,,,0,,-1,,,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
166,,0,46,30,12,-1,0,1,1,1,1,0,1,-1,-1,1,1,1,-1,1,-1,1,0,1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,0,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1
170,,0,38,16,8,1,0,0,1,0,0,-1,1,-1,1,0,1,,0,,1,0,0,1,1,0,-1,1,0,1,1,-1,1,1,1,0,1,0,1,0,-1,-1,0,-1,-1,,,,,,
172,,0,40,22,12,1,-1,0,1,1,1,-1,1,-1,1,1,1,0,1,1,-1,0,1,1,1,1,-1,1,0,1,1,0,1,-1,1,-1,1,0,1,1,-1,-1,-1,-1,-1,,,,,,
175,,0,13,6,3,1,-1,,1,0,1,,,,1,,,-1,,,,,,,,,,,,0,,0,,,1,,,,,1,,0,-1,,,,,,,,
178,,0,30,15,15,-1,1,1,-1,-1,1,-1,-1,,-1,-1,1,,1,1,,1,,1,,1,-1,,,,-1,-1,,1,-1,1,-1,-1,-1,-1,1,1,,1,1,,,,,,
180,,1,33,19,8,0,0,0,1,,1,,1,,-1,0,1,1,1,1,,1,1,1,,1,-1,1,,1,0,0,1,1,1,-1,,,1,1,-1,-1,-1,-1,-1,1,,,,,
194,,0,26,18,8,-1,-1,-1,1,1,,,1,-1,1,1,1,1,1,,,,,1,1,,-1,,1,1,,1,1,1,,-1,,-1,1,1,,-1,,,,1,,,,,
198,,0,19,10,4,1,,0,1,,,,1,,,,1,,0,,,,1,1,,1,-1,,1,1,0,,,,,-1,1,0,0,,-1,,-1,,,,,,,,
200,,4,45,27,12,0,0,-1,1,1,1,-1,1,-1,-1,1,1,1,1,1,1,1,0,1,1,1,-1,1,1,1,0,-1,1,1,1,-1,1,0,0,1,-1,-1,-1,-1,-1,1,1,1,1,1,
202,,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
204,,0,33,9,7,0,,0,0,0,1,-1,1,-1,0,-1,1,0,,,1,0,1,0,0,0,0,,,1,0,1,1,1,0,-1,,0,0,,,0,-1,-1,-1,0,,,,,
205,,0,9,5,3,1,,,-1,,1,,,-1,,,,,,,1,,,,,,0,1,,,,,,,1,,,,,,,,-1,,,,,,,,
208,,0,10,2,7,-1,,,,,,-1,1,,,,,,,,,,,,,,-1,,,,,1,,,0,,,,,,-1,-1,,-1,-1,,,,,,
210,,0,25,13,6,0,-1,,,1,1,,0,,0,,1,,1,,,,0,,,1,-1,1,1,1,1,1,1,,,-1,1,0,0,1,-1,-1,,,-1,,,,,,
211,,0,7,4,2,1,,,,,,,1,,,,,,,,,,,,,,,,0,,1,,,,,-1,1,,,,,,-1,,,,,,,,
214,,1,27,15,6,0,0,,,,,-1,1,,1,,1,,1,0,-1,1,,1,1,0,0,1,1,,-1,,,1,1,-1,,,,1,,,,-1,-1,1,,0,1,,1
220,,0,16,10,4,1,,,,,,,1,-1,,,,-1,,,,1,,,,,,1,0,1,1,-1,1,,,,1,0,,,,,-1,,,,,,,1,1
223,,0,46,23,10,1,-1,-1,1,0,0,0,1,-1,0,0,1,-1,0,0,1,1,1,1,1,1,-1,1,0,1,1,0,1,1,1,-1,1,0,0,1,-1,1,-1,-1,-1,1,0,0,1,1,1
227,,0,3,0,1,0,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
234,,0,37,23,10,1,,0,,1,1,-1,1,-1,,1,,0,1,,1,1,-1,1,1,1,-1,1,1,1,1,1,1,0,1,-1,,0,,,-1,-1,-1,-1,-1,1,1,1,,1,1
236,,0,18,10,4,1,1,,1,1,,0,,0,,,,,,,0,,1,,0,,,,,,1,-1,1,,,,,,,,,,-1,-1,-1,1,,1,,1,
238,,0,46,17,7,0,0,0,0,1,1,1,0,0,0,1,-1,1,0,1,1,0,1,0,-1,1,-1,1,1,0,-1,1,0,0,0,1,1,0,1,1,-1,-1,0,0,-1,0,0,0,0,1,0
239,,0,13,8,4,1,,,1,,,,1,,1,,,-1,,0,,,,,,,-1,1,,,,,,,,,1,-1,1,,,,,,,,,,,-1,1
240,,0,14,6,1,0,,,,,,,1,,1,1,1,0,0,0,0,0,,,,,,,,,,,,,,,1,,,0,,,,,-1,1,,,,,
244,,0,20,11,9,1,-1,-1,,,1,-1,,-1,,,,1,,,1,,,1,,,,1,-1,,,,1,,,-1,1,,,1,,,-1,-1,-1,,1,,,1,
245,,0,46,24,14,0,0,0,1,1,1,1,1,-1,1,-1,1,1,-1,1,1,0,-1,1,1,1,-1,1,1,1,0,-1,1,0,1,-1,1,-1,1,1,-1,0,-1,-1,-1,1,-1,-1,1,0,1
3,,0,2,1,0,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,0,17,7,8,,1,0,1,-1,,-1,1,-1,1,1,,,0,-1,,-1,,-1,1,,-1,-1,,1,,,,,,,,,,,,,,,,,,,,,
35,,0,15,4,6,,-1,-1,1,,1,-1,,-1,0,,,-1,,,0,1,0,0,0,,-1,,,1,,,,,,,,,,,,,,,,,,,,,
52,,0,7,3,1,,-1,,1,1,,,,,,0,,0,,,,,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
54,,0,12,5,2,,0,0,,,1,,,-1,,1,,,0,,1,,,1,0,,-1,,,1,0,,,,,,,,,,,,,,,,,,,,
57,,0,1,0,1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,0,25,16,3,,0,-1,,0,1,1,1,1,1,1,,1,,0,-1,1,0,1,0,1,-1,,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,
85,,0,9,7,2,,-1,-1,1,1,1,,,,1,,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,
93,,0,23,7,7,,-1,-1,1,1,-1,-1,,-1,0,1,1,1,1,,0,0,0,0,,-1,0,,0,,0,0,1,,,-1,,,,,,,,,,,,,,,
103,,0,12,5,0,,0,,1,0,,,,,,,,0,,1,,0,,,0,,0,,1,,0,1,,1,,,,,,,,,,,,,,,,,
111,,0,22,13,2,,0,0,1,0,1,,1,0,1,1,1,1,,1,1,1,,1,,0,-1,,0,1,,-1,,,0,,1,,,,,,,,,,,,,,
114,,0,1,1,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,0,24,9,5,,0,,,1,1,-1,,-1,1,-1,1,0,0,0,1,-1,,1,0,,-1,,1,0,,0,1,0,0,,1,0,,,,,,,,,,,,,
132,,0,19,8,1,,1,,1,1,,,1,,1,,,,0,0,,,0,0,0,,0,1,,0,,0,,1,,,1,,0,0,-1,,,,,,,,,,
139,,0,13,9,4,,-1,-1,,,1,,1,,,,1,-1,,,1,1,,,,,1,,1,,,,,,1,,1,,,,,,,,-1,,,,,,
155,,0,10,6,3,,0,,,,1,,,-1,1,,,,,,,,,,,,-1,,,,1,1,1,,,,,,1,,,,-1,,,,,,,,
156,,0,11,7,1,,1,,1,,,,,1,,,,1,,0,,,,1,,0,,,0,,,,,,,,1,1,,,,,,,-1,,,,,,
169,,0,8,0,0,,0,,,,,0,,0,,,,,,,0,,,0,,,,0,,,0,,,,,,,,,,0,,,,,,,,,,
183,,0,14,7,5,,1,-1,1,,,-1,,,-1,,,,,,,,1,1,1,,,,,,1,,,,,,1,,,,-1,0,,,-1,0,,,,,
201,,0,26,15,4,,0,1,,1,1,0,1,,,1,,1,,1,1,1,,,0,1,,1,0,,0,0,,1,,,,,0,1,-1,,-1,-1,-1,,,,1,1,
209,,0,15,4,6,,-1,-1,,1,,,,-1,,,,,,0,0,,,,,,,,-1,1,,,,1,,,1,0,,,,0,-1,,-1,,,,,0,
213,,0,2,0,1,,-1,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
215,,0,16,14,1,,0,,,,,,1,,1,1,1,,1,,1,,,,,,,,1,1,,,1,1,,,,1,,,-1,,,,,1,,1,,,1
217,,0,24,12,8,,0,,,1,1,-1,1,-1,-1,1,,,,,,1,,1,,,-1,1,,1,0,-1,,1,,,,0,0,,-1,,-1,-1,,1,,,1,1,
218,,0,19,7,4,,0,0,,,1,,,-1,0,,,,0,,,,0,1,,,-1,,-1,,,,,0,,,1,,0,1,,0,,,-1,,,,1,1,1
237,,0,16,6,7,,-1,-1,,1,1,-1,,,,,,,,0,0,,,1,,,,,,,0,-1,,1,,-1,,,,1,-1,,,,-1,1,,,,,
26,,0,9,4,1,,,0,,,,,1,0,1,,,,,1,,,0,,,1,,,0,,-1,,,,,,,,,,,,,,,,,,,,
27,,0,6,2,0,,,0,,,1,,,0,,0,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
65,,0,7,6,1,,,-1,,,,,,,1,,,,,1,,,,,1,,,1,,1,,,1,,,,,,,,,,,,,,,,,,
67,,0,15,11,2,,,0,-1,-1,1,,1,1,,,,,1,1,,,1,1,,,1,1,1,,,1,,,0,,,,,,,,,,,,,,,,
70,,0,10,4,1,,,-1,0,0,,1,,,,,,0,,,,1,0,0,,,,,,1,,,1,,,,,,,,,,,,,,,,,,
84,,0,4,2,2,,,-1,1,,,,,,,1,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,
97,,0,7,4,3,,,-1,,,,1,,,1,,,,,,-1,,,,,,,,,,,-1,,1,,1,,,,,,,,,,,,,,,
112,,0,4,2,1,,,0,,,,,,,,,,,,,,,,,,,-1,,,,,1,1,,,,,,,,,,,,,,,,,,
118,,0,8,6,2,,,1,,,1,-1,1,,,1,,,,,1,,,,,,,,,,,,,,,-1,1,,,,,,,,,,,,,,
157,,0,5,2,3,,,-1,,,,,,,,1,,,,,,,,,,,,,,,,-1,1,,,,,,,,-1,,,,,,,,,,
168,,0,5,0,2,,,0,,,,,,-1,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,,-1,,,,,,
196,,0,8,6,0,,,0,,,1,,,,,,,,,,,,,,1,,0,,,1,1,,,,,,1,,1,,,,,,,,,,,,
203,,0,14,8,5,,,-1,1,,,,,-1,,,,,1,,1,,,,,,,,,,0,1,,,,1,1,-1,1,,,,,-1,-1,1,,,,,
222,,0,1,0,1,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,,0,14,8,3,,,0,1,,1,,,,,1,1,,,0,,,,,,,-1,1,,1,0,1,,1,,-1,,,-1,,,,,,,,,,,,
231,,0,13,6,3,,,0,1,,,,,,,1,,,1,,-1,,0,1,,1,,,,,,,1,,,0,,0,,,,,,-1,-1,,,,,,
243,,0,24,9,4,,,0,,0,1,,1,-1,0,,,0,1,,1,,0,,0,,,,1,,,1,1,,,-1,0,1,0,,,1,,-1,-1,,0,0,0,,
11,,0,1,1,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,0,4,2,1,,,,1,1,,,,-1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,0,1,1,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,0,2,0,2,,,,-1,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,0,9,4,1,,,,1,0,,,1,,,,,,,0,,,,,,0,-1,1,,,,,,,1,0,,,,,,,,,,,,,,,
91,,0,2,2,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
123,,0,4,4,0,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,
164,,0,4,3,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,-1,,,,,,,,
171,,0,3,3,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,
181,,0,2,2,0,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,,0,18,10,6,,,,1,,1,,,-1,,,,,,,,,,,1,0,-1,,,1,,-1,1,1,,1,1,,1,,-1,0,,-1,-1,1,,,,,
187,,0,10,3,2,,,,1,,,,1,,,,1,0,0,,,,,,0,,,,0,,0,,,,,-1,,,,,-1,,,,,,,,,,
241,,0,7,5,1,,,,1,,,,,,1,,,-1,1,,,,,,,,,,0,1,,1,,,,,,,,,,,,,,,,,,,
46,,0,7,5,0,,,,,0,,,,,,,1,,1,0,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
80,,0,5,4,0,,,,,0,,,,,,,,,1,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,
82,,0,2,2,0,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,0,3,1,1,,,,,1,,0,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,
100,,0,5,2,3,,,,,-1,,,,,,,,,,,,,1,,,1,-1,,,,,-1,,,,,,,,,,,,,,,,,,,
138,,0,3,3,0,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
