participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
37,,0,3,1,1,,0,,,,,,,,,,,-1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
40,,0,5,0,0,,0,,,,0,,,,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
54,,0,3,1,0,,0,,,,,,,0,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
60,,0,17,12,1,,0,-1,,1,1,1,1,1,1,1,1,1,,0,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,
68,,0,11,6,0,,0,,0,,1,1,,0,1,,,,,,1,,1,1,,,0,0,,,,,,,,,,,,,,,,,,,
78,,0,18,12,1,,0,0,,,,,,,1,1,0,1,,,1,-1,,,,1,1,1,,1,,,0,,0,,1,,,1,1,,,1,,,
81,,0,13,9,0,,1,1,1,,1,,,,0,,,,,0,,1,,1,,0,1,,,,,,,,1,,1,,,,,,0,,,,
84,,0,16,14,0,,0,0,,1,,,,,1,1,1,,,,1,,1,,,,,1,,,,,,1,1,1,1,,,1,,1,,1,,,
92,,0,20,10,0,,0,0,,,,1,,,,,,,0,,0,1,,1,1,,,,,,1,1,,,0,0,1,,0,0,1,0,0,1,,,1
93,,0,25,18,2,,0,0,0,1,,1,,1,1,1,1,-1,1,,1,1,1,0,,1,,1,1,,,,,-1,,1,1,1,1,,,,,1,,0,
97,,0,3,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,
112,,0,6,3,0,,0,0,,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0,,,,,
113,,0,1,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,0,25,15,0,,0,0,0,,,1,1,,,1,1,1,,,0,1,0,0,1,1,,,1,,0,0,,1,,0,,,,1,1,1,,0,1,,1
121,,0,9,7,0,,0,,1,,,1,0,,,,1,,,,,,,,1,,,,,1,,,,,,,,1,1,,,,,,,,
124,,0,25,19,0,,1,1,1,,1,1,1,1,1,,,,1,,,,1,,1,0,1,1,1,,,0,0,,1,1,1,0,0,1,,,,1,,,0
128,,0,19,15,1,,0,,1,1,1,1,1,,1,1,1,,1,,,1,,-1,1,,1,1,,1,,,,,0,,,,,,0,,,,,,1
133,,0,14,9,0,,0,,1,,,1,,,,,0,,,0,,1,,1,,1,,,1,1,0,0,,,1,,,1,,,,,,,,,
135,,0,4,4,0,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,
136,,0,10,9,0,,0,,1,,,1,,,,,,,,,,,,1,1,1,,,,,,,,1,,,,1,,,,,1,,,1,
14,,0,2,2,0,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,0,3,0,0,,,0,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,0,10,10,0,,,1,,1,1,1,,,1,,1,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
46,,0,2,0,1,,,0,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,
73,,1,16,11,1,,,1,,,,,0,,,1,0,,,1,,1,-1,,,,,0,,1,,,1,1,0,,,1,,,1,1,,,1,,
75,,0,8,6,0,,,0,,,,1,0,1,,,,1,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,
76,,0,21,8,0,,,0,,0,,,,,0,,,0,1,,1,1,1,1,,,0,0,1,,1,,1,,0,,,0,0,,0,0,,0,0,,
89,,0,8,5,1,,,-1,,,1,,,1,1,1,,,,,,,,,0,,,,,,,,,1,,,,,0,,,,,,,,
90,,0,3,3,0,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,0,2,1,1,,,1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,0,1,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,0,1,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,0,9,6,1,,,0,,,,,,,,1,,1,,,,,1,,,0,-1,,1,,,,,,,,1,,,1,,,,,,,
137,,0,7,5,0,,,1,1,,,,,,,,,,0,,,1,,,,1,,,,,,0,,,,,,1,,,,,,,,,
32,,0,4,4,0,,,,1,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,0,1,1,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,0,18,15,0,,,,1,,1,,1,1,,,,1,,,1,1,,1,1,,,,,1,1,,0,,,1,,,,,,1,0,0,,1,1
110,,0,8,5,1,,,,1,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,-1,,1,,0,,,,,1,0
35,,0,4,4,0,,,,,1,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
122,,0,8,5,0,,,,,1,,1,,,,,,,,1,,,,1,,,,,,,,0,,,0,0,,,1,,,,,,,,
134,,0,13,13,0,,,,,1,,,1,1,1,,1,,,1,,,,,,1,,1,1,1,,1,,,,,,,,,1,,,,,1,
22,,0,3,3,0,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,0,1,1,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,0,4,2,0,,,,,,0,,1,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,
138,,0,7,3,0,,,,,,1,,,,1,,,,,0,1,,,0,,,,,,,0,,,,,,,,,,,,,,,0,
31,,0,1,1,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,0,8,8,0,,,,,,,1,1,1,,1,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
143,,0,5,3,0,,,,,,,1,,,,1,,,,,0,,,,,,,,,,,,0,,,,,,,,,1,,,,,
126,,0,14,10,0,,,,,,,,1,1,,1,,,,,,,1,0,1,,,1,,,0,,,1,,1,,1,0,,,,,1,,,0
18,,0,1,1,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,0,7,6,0,,,,,,,,,1,,1,,,,1,0,,,,,,,,1,,,,,,,,1,,1,,,,,,,,
98,,0,1,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,,0,2,2,0,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
114,,0,1,1,0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,0,4,2,0,,,,,,,,,,,1,0,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,
103,,0,2,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
118,,0,10,7,2,,,,,,,,,,,1,,,1,,,,,-1,,,,,,1,,,,,-1,,,,,,1,,1,1,0,1,
13,,0,1,1,0,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,0,2,1,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
42,,0,1,1,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,0,1,1,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,0,5,5,0,,,,,,,,,,,,,,1,,1,,1,,,,,1,,,,,,,,,,,,1,,,,,,,
70,,0,1,1,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,0,1,0,1,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,0,1,1,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,0,4,3,1,,,,,,,,,,,,,,,,,,-1,,1,1,,1,,,,,,,,,,,,,,,,,,,
62,,0,1,1,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
131,,0,1,1,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
88,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
67,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
82,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
94,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
105,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
108,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
