participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
192,0,1,18,10,2,1,,0,0,0,,,,,,1,,,-1,,,,1,,,1,,0,,,0,1,,1,,1,1,1,,,-1,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,1,0,38,27,5,1,0,0,0,-1,1,1,1,0,0,1,1,1,1,-1,1,1,1,1,-1,1,,1,1,1,-1,1,1,1,1,1,1,1,0,1,1,-1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,1,0,38,26,4,0,0,0,0,-1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,1,,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,1,0,21,15,2,0,,,,0,1,1,1,1,,1,1,1,0,-1,1,1,,1,,1,,,,1,,,,1,,1,,,,1,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,0,0,15,2,0,0,0,0,0,,0,,,0,1,,0,,0,0,,0,,,,,,,1,0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,1,0,31,20,11,1,1,,-1,-1,,1,,,-1,1,1,1,1,1,1,,,1,-1,1,,,,1,-1,1,-1,,-1,,1,,1,,-1,-1,1,,-1,,1,,1,,,-1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,1,0,12,9,2,1,,0,,-1,,,1,,1,,,1,,1,,1,,,-1,,,,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,1,0,38,33,4,-1,1,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,1,0,21,18,3,1,,-1,,1,,,1,1,1,1,1,,1,,1,1,,1,-1,,,,1,1,1,1,1,,,,,,,,,-1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,0,0,25,10,6,1,0,,0,,0,,,,0,0,0,0,1,-1,,1,-1,-1,-1,1,,1,,1,-1,,0,,-1,1,,1,,,1,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,0,0,13,8,5,-1,-1,,,-1,,1,1,,-1,,1,,,1,,,,1,,,,,,1,,,,1,,,,1,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,0,0,47,10,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,0,0,39,25,4,0,1,-1,-1,0,,,0,0,0,1,1,1,1,0,1,1,1,1,-1,1,,1,1,1,1,1,0,,1,1,0,1,,1,0,1,1,1,-1,1,,,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,0,0,22,12,1,0,,0,0,,,0,,,,0,1,,,,,1,0,0,1,,,,1,,,,,1,,1,0,,,,1,-1,,,,1,,,,1,,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,0,0,29,10,9,1,,0,0,-1,1,,,,0,,,1,,-1,0,-1,,,-1,0,,,,-1,1,,-1,0,-1,0,0,1,,1,,-1,0,-1,,,1,,1,,,1,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,0,0,41,20,2,0,0,0,0,,0,,0,1,0,1,1,0,1,0,,0,0,0,0,1,,1,1,1,0,,1,,-1,1,0,1,1,1,1,-1,1,0,0,1,1,,1,1,0,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,0,0,28,15,6,1,,,-1,,,,0,0,1,1,,1,0,-1,,,,0,-1,1,,,1,1,-1,0,,1,0,1,,,1,1,-1,,1,,,1,,,,1,,,-1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,0,1,52,46,3,1,1,-1,-1,0,1,-1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,0,1,53,22,11,0,0,0,0,0,0,0,-1,0,0,1,1,-1,0,-1,1,-1,-1,1,1,0,,1,1,1,0,1,1,1,0,1,1,1,-1,1,0,-1,1,-1,0,1,0,,1,1,-1,0,-1,1,0,0,1,0,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,0,0,25,19,2,1,0,0,,,,,1,,0,1,1,,,,,1,,-1,-1,,,1,1,1,,1,,,1,,,1,,1,1,1,1,0,,,,,1,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,0,0,30,22,3,1,0,0,,1,1,1,1,1,1,,,,1,,,0,1,0,1,1,,1,,,-1,,,1,,,,,,1,1,-1,,,1,,,,1,1,0,1,-1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,0,0,50,43,2,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,0,0,25,19,0,1,0,,,,0,1,1,,0,1,1,,,1,0,,,1,1,1,,1,1,,,,1,,,,1,,,,,,,,1,1,,,1,,0,1,,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,0,0,46,20,4,0,0,0,0,0,1,,-1,1,,0,1,0,0,0,1,0,1,1,0,1,,0,1,-1,0,1,,0,0,1,1,1,1,0,0,-1,1,,0,0,0,,1,1,1,1,-1,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,0,0,51,28,9,0,-1,-1,-1,1,0,0,0,1,-1,1,1,-1,0,1,0,1,0,0,0,1,,1,1,1,-1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,-1,,-1,1,1,1,1,1,1,0,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,0,0,26,17,0,1,,0,,,0,1,1,,,,,,0,0,,,1,,,1,,,,1,,,1,1,,1,1,1,0,,0,0,1,,0,,1,,,1,0,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,0,0,35,26,0,1,0,0,,,1,0,1,1,1,,,0,,0,,1,1,,0,1,,1,1,1,0,,1,1,1,1,1,1,,,,0,1,,,,1,,1,1,1,1,0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,1,0,21,11,3,1,0,,0,1,,1,0,,,1,1,,1,0,,,,1,0,,,1,1,,-1,,,1,,,,,,,0,-1,,,0,1,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,0,0,51,38,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,,1,1,1,1,-1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,0,1,54,31,4,1,0,0,0,0,1,1,-1,0,0,1,1,1,1,1,1,0,-1,1,0,1,,1,1,1,1,1,1,0,1,1,0,1,1,1,1,-1,1,0,0,0,1,,1,1,0,1,0,0,0,1,0,0,1,-1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
274,0,0,51,41,2,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,,1,1,1,-1,1,1,1,0,1,1,1,0,1,0,-1,1,1,1,1,1,,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,0,0,51,11,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,1,1,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,0,0,24,16,2,1,,0,0,1,-1,1,,,0,,,1,,,,,,,,1,,,,,,,,1,,1,0,1,1,,,-1,1,0,1,,,,1,1,0,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,0,0,23,16,2,1,,,,1,,,0,,1,,,1,0,1,,,0,,,,,1,,,1,,,,1,1,,,1,0,,-1,,0,,,1,,-1,1,1,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,0,0,18,5,9,1,,0,,,,,-1,,0,,1,,,,,,1,,,,,-1,,,-1,,-1,,-1,1,,,,0,,-1,,,0,-1,,,,,,-1,,,-1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,0,1,20,16,2,0,,0,,1,1,,,1,,,1,,,,1,,1,,,,,,1,,,1,,,,,,,1,,,-1,,1,,1,,,,,1,,,,1,,,1,,,,,,1,,,,,,,-1,,,1,,,,,,,,,,,,,
292,0,0,29,7,1,1,0,,,,,0,,0,0,,,0,,1,0,0,,0,-1,,,,0,,,0,0,0,,1,1,0,,,0,0,1,,0,0,,,0,0,0,,0,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,0,0,52,38,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,,1,1,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,0,0,17,11,3,1,0,,,,,1,,,,,,,,1,,1,,,,,,1,,,-1,,1,1,,1,,,,,,,,,0,,1,,0,1,1,,-1,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,0,0,19,5,1,0,,0,,-1,,,0,,0,,,,,0,,,,0,,1,,,,,,1,,0,0,,,,,,,0,,,,,,,,0,,0,0,,1,1,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,0,0,53,21,7,0,0,0,0,-1,1,0,1,1,0,0,0,-1,0,-1,0,1,1,1,1,1,,0,1,1,-1,1,0,1,1,1,0,0,0,1,0,-1,1,0,0,1,0,,0,0,0,1,-1,1,1,1,0,0,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,0,0,19,10,5,-1,0,0,,,-1,1,,,,1,1,,,-1,,,,,0,,,,,,-1,1,,,1,1,,,,1,,-1,1,,0,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,0,1,19,9,3,0,1,0,0,,,,0,,,,1,,0,-1,,,,,,1,,,,,,,,1,-1,,,,0,1,0,-1,,,,,,,,,,,,1,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
318,0,0,25,19,2,1,,,,,-1,,,,,,1,,1,1,1,1,1,,1,,,,0,1,,,,,1,1,,,,1,,1,,-1,,,1,,1,,,,,,,1,,1,,0,,,,1,0,,0,,,,,,,,,,,1,,,,,,,,,
331,0,1,54,33,12,0,0,0,0,-1,1,1,1,1,0,1,1,-1,1,-1,1,1,1,0,1,1,,1,1,1,-1,1,1,0,1,1,-1,-1,1,1,-1,-1,1,-1,0,1,1,,-1,1,0,1,-1,1,1,1,1,1,1,-1,,,,,,1,,,,,,,,,,,,,,,,,,,,,
334,0,0,53,39,8,1,-1,-1,-1,1,1,1,1,1,-1,1,1,1,1,-1,1,-1,1,-1,1,1,,1,1,1,1,1,1,1,0,1,1,0,1,1,-1,1,1,0,1,1,1,,1,1,1,1,0,1,1,1,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,,0,3,0,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,0,0,53,29,5,1,0,0,0,-1,1,0,0,1,0,1,1,1,1,-1,1,0,1,0,0,1,,1,1,1,-1,1,0,0,0,1,1,1,1,0,0,-1,1,0,1,1,0,,0,1,1,1,-1,1,1,1,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,1,0,49,36,5,1,1,-1,-1,1,1,1,1,1,1,1,1,1,0,,1,1,1,1,0,0,,1,,1,1,1,1,1,,1,0,1,1,1,1,1,1,0,,1,1,,,-1,1,1,0,1,,1,0,,1,-1,,,,,,,,,,0,-1,,,,,,,1,,,,,,,,,
346,0,1,54,17,4,0,0,0,0,-1,-1,0,-1,0,0,0,0,1,1,1,1,0,0,0,0,1,,1,1,0,0,1,0,0,0,1,0,1,1,0,0,-1,1,0,0,0,0,,1,0,0,1,0,0,1,0,0,1,0,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,
348,0,0,73,53,4,1,0,0,0,1,1,1,0,1,0,1,1,1,0,-1,1,1,0,-1,-1,1,,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,,1,1,0,1,1,1,0,1,1,0,1,1,1,,1,1,1,1,-1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,,,,,,
349,,0,2,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,0,0,38,29,4,1,1,-1,0,1,1,1,1,,1,1,,,1,-1,1,1,-1,,-1,1,,,1,1,1,1,,0,,1,1,1,1,,0,,1,,1,1,,,,,0,1,,1,1,1,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,0,2,45,29,3,1,,0,,0,1,0,1,0,1,1,0,1,,-1,1,1,0,0,,1,,1,,1,1,1,,1,,1,0,1,0,1,-1,1,1,1,0,,1,,1,1,1,1,0,,1,0,1,0,,-1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
365,0,0,26,7,0,0,0,,0,0,0,0,1,1,,0,,,0,,1,0,,,0,1,,0,,,1,,,0,,0,0,,1,,0,,0,,0,0,,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,0,1,41,36,3,1,-1,,0,,1,1,1,1,1,1,1,,1,,1,,,1,0,,,,,,1,1,1,,1,,1,1,1,,1,,1,,1,1,1,,1,,1,1,1,,,1,1,1,1,,,,1,1,-1,,,1,,-1,1,1,,,,,,,,,,,,,,,
370,0,1,65,42,4,1,-1,-1,-1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,,1,1,0,1,0,0,1,1,1,1,1,0,1,,0,1,1,1,0,1,0,0,-1,1,1,,,,,,,,,,,,,,
373,1,0,11,7,3,1,1,,,,,,,1,0,,,,,,,,,,,,,,1,,,,,,,1,,,,-1,,1,,,,,,,,,-1,,,,,,,1,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,
374,0,0,22,9,8,-1,1,0,-1,,,,,1,,1,,1,,-1,,,,,,,,0,,,,,,,-1,,,1,,,-1,,,,,1,,,1,,,,,-1,,1,0,-1,,-1,0,,,0,,,,,,,,1,,,,,,,,,,,,,,,
382,0,0,21,13,0,0,,0,0,1,,,,,,,,,,,,,,0,,1,,1,,,,,,1,,1,,1,,1,,,,,,1,,,0,,0,,,1,1,,0,,,,,,,,0,1,,,,,1,1,,,,,,,,,,,,,,,
387,0,0,66,53,13,-1,-1,-1,-1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,-1,-1,1,,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,-1,1,1,1,-1,1,1,1,-1,1,1,1,,,,,,,,,,,,,
394,0,0,15,0,0,0,,,,,,0,0,0,,,,,,,0,,,,0,,,,,,0,,,,0,,,,,,,,,,,,,,,0,,,,,,0,,,0,,,,,0,0,,,,0,,0,,,,,,,,,,,,,,,,
396,0,0,18,12,1,1,,,,,1,,,1,0,,,1,,,,-1,0,,0,,,,,,,,,,,,1,,,,1,,,0,,1,,,1,,,,,,,,,,1,,,,1,,,1,0,1,,,,,,,,,,,,,,,,,,,
408,0,0,53,41,4,1,,,1,0,1,1,,1,1,1,1,,0,0,1,,0,1,0,,,1,1,,,1,1,1,1,1,1,,1,1,1,-1,1,1,1,1,,,-1,1,1,1,-1,1,1,1,,0,1,0,1,,,1,,1,1,1,0,-1,1,1,1,1,,,,,,,,,,,,,
411,,0,1,0,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,0,0,8,6,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,1,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,
420,0,0,17,12,4,-1,,,,,,,,,0,,,1,,,,-1,,,,,,1,,,,,,1,,,-1,,,1,1,,,1,1,1,,,,,1,,,1,,1,,,,-1,,,,,,1,,,,,,,,,,,,,,,,,,,,,
427,0,0,54,15,3,0,,0,,0,,,0,0,0,0,1,1,0,-1,0,0,1,1,1,1,,0,0,0,0,1,0,,1,0,0,0,0,1,0,-1,1,0,,1,0,,,0,1,0,0,0,,1,0,0,,1,,,0,0,-1,1,0,0,,,0,0,0,0,,,,,,,,,,,,,
428,0,1,42,12,0,0,0,,0,,,0,,,,,0,0,0,,,0,0,,,,,,1,,0,,0,,0,1,1,0,1,0,,,0,0,0,,,,,1,1,0,0,0,0,,,0,,0,0,,1,0,0,1,1,1,0,,0,0,0,1,,1,,,,,,,,,,,
434,0,1,32,17,4,1,-1,-1,0,,1,,,,0,,1,1,,,,0,1,,1,1,,0,1,1,0,,,0,,0,0,0,,,-1,-1,,1,,,,,,1,,1,,,1,,,0,,,0,,1,1,,,,1,,,,,,,,,,,1,,,,,,,,
441,,0,3,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
453,0,0,37,15,10,1,-1,0,0,,,,,,,1,1,,,1,,,0,,-1,1,,0,,,,,,0,-1,,,,,0,-1,,0,,-1,-1,,,1,0,,0,-1,1,,0,1,,,-1,0,,-1,-1,,1,0,1,,1,1,1,1,1,,,,,,,,,,,,,
455,0,1,73,48,12,1,0,0,0,-1,0,1,1,1,0,1,1,-1,0,-1,1,-1,1,1,-1,0,,1,1,1,1,1,1,1,0,1,1,1,-1,1,0,-1,1,0,0,1,1,,1,1,-1,-1,-1,1,1,1,1,1,1,1,0,,-1,1,1,1,1,1,1,-1,1,0,1,1,1,1,1,1,1,1,1,,,,,,
456,0,0,12,7,2,0,,,,,1,,-1,,,,,,,,,,1,,0,,,,0,,,,,1,,,,,,,,-1,,,,,,,1,,,,,,,,1,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,
458,0,0,20,10,4,1,,0,,,,,-1,1,,,,,,,,,,,0,,,,,,,0,1,,-1,,,1,,,,,,0,,,1,,,,,,,-1,1,1,1,,0,1,,,,,,,,,,-1,,0,1,,,,,,,,,,,,,,
459,0,0,42,15,6,0,,,0,,0,1,0,1,0,0,,1,0,0,1,1,0,,-1,0,,1,1,0,,0,0,,-1,1,,,,1,,-1,,0,,0,,,0,1,,0,0,-1,1,,,,0,,,,,1,-1,,1,1,,-1,,0,1,0,,,,,,,,,,,,,
476,0,3,76,43,23,-1,-1,-1,-1,1,1,1,1,1,1,-1,1,-1,0,-1,-1,-1,1,1,-1,1,,1,1,1,1,1,-1,1,1,1,0,1,1,1,-1,1,1,0,0,1,-1,,1,1,1,1,-1,0,0,-1,0,1,1,1,-1,,1,-1,-1,1,0,0,-1,-1,-1,1,1,1,0,1,-1,1,-1,1,1,,,1,1,1,
484,0,0,14,7,7,-1,,,,,1,,-1,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,-1,,,,,1,,,-1,,1,,,-1,,-1,,,,,1,,,,,,-1,,,,,,,,,,,,,,,,
501,0,0,45,19,4,1,0,0,0,1,,,,,,0,,1,,1,1,-1,0,,,1,,,1,1,,,0,0,-1,,0,,1,1,,-1,,0,,,0,,0,1,0,0,0,1,1,0,0,,0,,1,,1,,,1,0,,1,-1,0,0,,1,,1,,,0,0,,,,,,,
507,,0,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,0,0,9,5,1,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,1,,,,,,,,1,,,,1,,,,,-1,,,,,,,,,,1,,,,,,,,,0,,,,,,,,
517,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
7,0,1,25,15,9,,-1,-1,-1,,,1,,,-1,,-1,1,-1,-1,,1,,,,1,,,,,1,0,,,-1,1,-1,1,,1,,,1,,,1,,,,,1,,,1,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
16,,0,2,1,1,,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,0,1,0,1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,0,3,1,1,,-1,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,0,5,2,0,,0,0,0,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1,0,17,9,2,,0,0,0,-1,1,1,1,1,0,0,1,1,,1,,1,-1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1,0,16,7,5,,-1,-1,-1,-1,0,0,1,1,,,1,1,0,1,1,,0,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,1,0,14,6,3,,0,,0,1,1,1,,1,0,,1,,,1,0,,0,-1,-1,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,1,0,12,9,1,,0,,,1,,1,,1,,1,1,,0,1,,,1,,,,,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,1,0,21,15,1,,0,0,0,,,1,1,1,1,1,1,,1,1,1,0,0,1,-1,1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,0,5,4,0,,1,0,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,1,0,15,9,3,,0,0,,1,1,1,,1,0,,1,,,,1,,1,-1,-1,1,,,1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,1,0,19,13,2,,-1,0,0,1,1,1,1,1,-1,,1,1,0,1,,,1,0,,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,0,5,5,0,,1,,,,1,,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,0,2,2,0,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,1,0,16,10,3,,0,0,0,1,,1,1,1,,,,1,-1,-1,1,-1,1,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,0,1,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,1,0,19,13,1,,0,0,0,-1,,0,,,,1,0,1,1,,1,1,1,1,1,1,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,0,5,1,1,,0,,,,,,-1,,,,,0,,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,1,0,15,12,1,,0,,,1,,1,0,1,,,1,1,,,1,1,,1,-1,1,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,1,1,11,7,0,,0,,,,0,1,1,1,,,,,,,1,0,,0,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,1,0,24,16,3,,1,,0,1,-1,1,1,,1,1,1,1,0,1,0,0,0,,-1,1,,1,1,1,1,-1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,0,0,16,10,5,,0,-1,,,1,,,1,,,1,,,1,-1,,-1,,-1,1,,1,1,,-1,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,0,0,21,16,5,,1,,,-1,,,,,1,,,,,,,,,1,-1,1,,1,1,,,1,1,1,,1,1,-1,,,1,-1,1,,,,1,,1,,1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,,0,1,1,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,0,0,24,18,6,,1,,-1,,1,1,,1,,-1,,1,-1,-1,1,,,,1,,,-1,,1,,1,1,,,,,,1,1,-1,,1,,1,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,0,0,26,20,4,,-1,-1,,-1,,,,1,,1,,,,1,,1,,1,0,,,1,1,,0,,,1,,1,1,1,,1,,,1,,1,1,1,,1,1,,,-1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,,0,3,2,1,,-1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
