participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
45,,0,12,11,0,1,,,,0,1,,,,1,1,1,,1,1,,1,,,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,0,28,20,2,-1,1,,1,0,0,1,1,1,1,0,1,1,,1,1,0,1,,1,0,1,1,1,1,-1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,0,7,6,1,1,1,,1,,,,,,,-1,,,,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,4,35,25,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,0,12,8,0,1,0,,1,1,1,,,,1,1,,,0,0,,,1,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,0,12,3,1,-1,,,1,0,0,,,0,,,,,0,,,0,,,,,,,0,1,0,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,0,35,24,5,0,1,1,1,-1,0,1,1,0,1,-1,-1,0,-1,-1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,0,56,29,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,-1,1,1,-1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,-1,1,-1,1,-1,1,-1,-1,-1,0,1,1,1,0,-1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,0,34,34,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,1,31,26,1,1,1,,1,0,1,1,,0,1,1,1,1,1,0,1,0,,1,1,1,1,1,1,1,1,1,,1,1,1,1,,-1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,0,15,2,3,0,0,0,,,0,,,0,,,,,1,,-1,0,,0,0,0,,1,,,,0,,,-1,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,0,11,9,1,-1,,,1,,,,,,,,,1,,1,,,,1,,,1,,1,,,0,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,0,36,24,2,1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,0,36,28,1,1,-1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,0,3,1,0,1,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,0,12,3,0,0,,,,0,,,,,,0,0,1,,,0,,0,,1,,,,1,,0,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,0,23,8,4,0,0,,0,,,,0,,,1,0,0,,1,,,1,0,-1,0,1,,,-1,,1,-1,1,0,1,0,1,,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,0,25,25,0,1,1,1,1,,1,1,1,1,,1,,,1,1,1,1,,,1,1,,1,1,,1,1,,1,1,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,0,16,12,4,1,,1,,,1,-1,-1,,1,1,,,-1,,,,,,1,1,,,,,,,-1,,1,,1,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,1,32,13,8,-1,1,-1,1,,,1,1,0,1,1,0,,0,0,-1,0,1,-1,1,1,-1,0,1,,1,-1,,1,,0,-1,0,-1,,0,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,3,25,18,1,0,0,,,,1,,,,,,,,,,,,,1,,1,,1,,,0,,,,1,1,,1,0,1,,,,0,0,1,,1,,,,,,,1,,,,1,1,,,,,-1,,,,,1,,,,1,1,,,1,,,,1,,,,,,,,,,,
102,,0,41,35,6,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,1,32,30,2,1,,-1,1,-1,,1,,,,1,,1,1,,1,1,1,1,1,1,,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,0,9,5,0,0,,,,,1,,,,,,,,,,0,,,1,,,1,1,,,,,,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,0,11,8,0,1,,,,,,,,1,,0,1,,,,,,,,0,,,,1,,1,,0,,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,2,30,7,0,0,0,0,,0,,0,1,,,0,0,,0,1,0,0,,,0,0,1,0,0,0,,,,0,,0,0,,0,0,0,,,1,1,,0,,0,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,0,10,9,1,1,,,,,1,,1,,,,,,-1,,,,,,,1,1,,,,,1,,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,0,54,37,4,1,1,-1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,-1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,-1,1,1,1,1,1,0,1,0,1,1,0,0,0,,1,,,,1,,,,,,,,,,,,,,,,,,,,,-1,,1,,,,,,,,,
121,,1,51,42,2,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,-1,1,0,1,0,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,0,34,21,0,0,,0,1,0,1,,0,1,1,0,,1,,,0,1,0,,,1,1,1,,1,1,0,,1,0,1,,1,,0,1,1,1,1,,,1,1,,0,0,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,1,57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,0,9,4,5,-1,,,,,,1,,,,,,,,,-1,,,1,,,,,,,,,,,,1,1,,,,,,,,-1,,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,0,26,25,0,0,1,,1,,,1,1,,,1,,1,1,,,1,,,,1,1,,1,1,1,1,,,1,,,,1,1,1,,,1,1,1,,,1,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,0,32,21,0,0,1,0,1,1,1,1,1,1,,,1,0,,,,1,1,,,,,1,0,1,,,,,0,1,1,1,1,0,,,0,,1,,,0,,1,0,0,1,1,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,,0,12,6,2,1,,,,1,,,,,,,,,1,,1,,0,,,,,,,,1,,,,,,,,,,,0,,,,,,-1,,1,,,0,,,-1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,,0,23,7,2,0,,0,0,0,,,1,,,,,0,,-1,0,,,,,,,,,,0,,,1,0,,,-1,0,1,,,1,,,0,,,,0,0,1,,,0,1,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,,0,7,4,0,0,,,,,,1,,,,,,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
