participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
178,2,0,7,7,0,1,1,1,,1,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,,0,5,3,1,-1,,,,,1,1,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,2,0,8,6,2,-1,1,,,,1,,-1,,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,2,0,11,9,1,-1,1,1,,1,1,1,0,,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,2,0,11,5,0,1,1,0,,0,0,0,0,,,,,,1,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,,0,4,3,1,1,1,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
189,,0,3,2,0,1,,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,2,0,10,7,1,1,1,1,,1,0,-1,,,,,,,0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,2,0,11,7,1,1,1,1,,1,0,0,-1,,,,,,0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,2,0,10,6,1,0,1,1,,1,0,,0,,,,,,,-1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,,0,5,2,1,1,,,,,-1,,,,,,,,,,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,2,0,14,9,1,1,1,1,,0,1,-1,0,,,,,,0,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,2,0,13,10,1,1,1,1,,1,0,1,0,,,,,,1,-1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,,1,5,2,2,-1,1,,,,,,,,,,,,,-1,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,2,1,27,22,4,1,1,1,,1,-1,1,-1,,,,,,1,0,1,1,1,1,1,1,1,1,1,1,,,,,1,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,-1,,,,1,,,,,,-1,,,,,,,,,1,,,,,
208,2,0,14,7,0,0,1,1,,0,0,0,0,,,,,,1,0,0,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,0,0,13,4,3,1,0,1,,-1,-1,,0,,,,,,1,0,1,0,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,,0,2,0,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,0,0,9,5,1,0,,1,,0,-1,0,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,,0,5,3,1,1,,1,,,,,,,,,,,1,-1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,2,1,22,16,6,-1,1,1,,1,1,1,1,,,,,,1,-1,1,1,1,-1,1,1,1,,,,-1,,,,,,,,,,1,,,,,,-1,,,1,1,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,2,0,15,10,1,0,1,1,,1,0,1,0,,,,,,1,-1,1,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,,0,3,3,0,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,2,0,15,8,2,-1,1,0,,1,1,0,-1,,,,,,1,0,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,2,0,15,10,1,0,1,1,,1,1,1,0,,,,,,0,-1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,,0,6,4,1,1,1,1,,,,,,,,,,,1,,,,-1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,2,0,15,9,3,1,1,1,,0,1,0,-1,,,,,,1,-1,1,1,0,-1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,0,0,11,0,1,0,0,0,,0,,0,0,,,,,,,0,,0,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,2,0,9,7,0,1,1,1,,1,,1,,,,,,,0,0,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,0,0,7,5,1,-1,,,,0,,,1,,,,,,,1,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,2,0,15,12,2,1,1,1,,1,1,1,-1,,,,,,0,-1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,0,0,15,1,0,1,0,0,,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,0,1,49,10,32,1,-1,-1,,1,1,1,,,,,,,0,-1,1,-1,1,-1,-1,-1,1,,1,0,0,1,1,,0,-1,0,0,,-1,0,-1,,-1,,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,,-1,-1,,-1,-1,-1,,-1,-1,-1,,,-1,-1,-1,,-1,,,,,,,,,,,,
242,2,0,16,9,1,1,1,1,,0,-1,0,0,,,,,,0,0,1,1,1,1,,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,2,0,8,6,0,1,,1,,,1,,0,,,,,,1,,,1,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,0,0,8,4,4,1,,1,,,1,,-1,,,,,,,,-1,1,,-1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,2,0,14,9,2,0,0,1,,,1,,-1,,,,,,1,-1,1,1,,1,1,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,2,0,17,7,0,0,1,1,,1,0,1,0,,,,,,0,0,0,1,0,0,1,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,2,0,17,12,4,1,1,1,,1,1,-1,1,,,,,,1,-1,1,1,0,-1,1,1,1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,2,0,17,12,0,0,1,1,,1,1,0,1,,,,,,0,0,1,1,1,1,1,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,2,0,9,7,0,0,,1,,1,1,1,,,,,,,1,0,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,2,0,8,8,0,1,1,1,,,1,1,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,0,0,16,0,0,0,0,0,,0,0,0,0,,,,,,0,0,0,0,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,,0,2,1,0,1,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,2,3,20,16,2,1,1,1,,1,1,1,1,,,,,,0,-1,1,1,0,1,1,1,1,,-1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,,0,5,4,1,1,,1,,,1,,,,,,,,,-1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,2,0,12,8,2,-1,,1,,1,1,1,,,,,,,0,-1,1,1,,1,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,0,0,9,3,1,0,,,,,,,0,,,,,,,-1,1,,1,0,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,2,0,12,6,0,0,1,,,,1,0,,,,,,,0,0,1,,,1,,1,0,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,,0,6,2,0,0,,,,,,,,,,,,,1,0,,,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,2,0,17,11,2,1,1,1,,0,0,1,-1,,,,,,1,0,1,1,1,0,1,1,1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,0,0,12,2,7,-1,0,1,,,1,-1,-1,,,,,,,,,0,0,-1,-1,,-1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,,0,4,3,1,1,,,,1,,,,,,,,,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,1,0,8,4,2,0,,,,1,-1,,0,,,,,,,,1,,,,,1,1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,2,0,17,9,5,-1,1,1,,1,-1,0,-1,,,,,,0,-1,1,1,1,-1,1,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,,0,6,5,0,1,1,,,,,,,,,,,,,,,1,,,1,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,0,0,15,8,6,1,-1,1,,0,-1,1,-1,,,,,,-1,1,1,,1,1,,-1,1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,2,0,9,8,0,1,1,1,,,1,,,,,,,,,0,1,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,0,0,17,5,1,1,0,0,,0,0,1,-1,,,,,,0,0,1,0,0,1,0,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,2,0,17,11,3,0,1,1,,1,1,0,-1,,,,,,0,-1,1,1,1,1,1,1,1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,2,0,17,11,1,1,1,1,,1,0,1,0,,,,,,1,0,1,1,1,0,0,1,1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,,0,2,2,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,2,0,17,9,2,0,1,1,,0,0,0,-1,,,,,,0,-1,1,1,1,1,1,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,0,0,17,5,1,0,0,1,,0,0,0,-1,,,,,,0,0,1,0,1,0,1,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,,0,5,4,0,0,,1,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,,0,5,2,1,1,,,,,0,,,,,,,,,-1,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,2,0,9,4,0,0,1,,,,1,,0,,,,,,,0,1,,,,,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,,0,5,3,2,1,,,,1,-1,1,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,,1,6,5,1,1,,,,,1,,,,,,,,,,1,,,1,,,,,-1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,0,0,17,6,2,0,-1,1,,0,0,0,0,,,,,,0,-1,1,0,1,0,1,0,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,0,0,17,0,0,0,0,0,,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,2,0,15,10,2,1,1,,,0,1,0,-1,,,,,,1,-1,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,2,0,17,13,4,1,1,1,,1,1,-1,-1,,,,,,1,-1,1,1,1,1,1,1,1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,2,0,17,11,1,1,1,1,,1,0,1,-1,,,,,,0,0,1,1,1,0,1,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,2,0,14,11,1,1,1,1,,1,,1,-1,,,,,,0,0,1,1,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,2,0,17,11,4,1,1,1,,1,1,0,-1,,,,,,0,-1,1,1,1,1,-1,1,1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,2,0,15,12,1,1,1,1,,1,-1,0,1,,,,,,1,,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,0,0,7,2,0,0,0,0,,,,,0,,,,,,,,0,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,2,0,11,6,0,0,1,1,,,1,,0,,,,,,1,0,,0,,1,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,2,0,17,15,1,1,1,1,,1,1,1,-1,,,,,,1,0,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,2,0,7,4,1,0,,1,,,1,,,,,,,,,-1,,,1,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,,0,6,3,1,0,1,,,,-1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,2,0,17,12,1,0,1,1,,1,1,1,0,,,,,,1,-1,1,1,0,1,1,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,0,0,17,10,6,1,-1,1,,0,-1,-1,-1,,,,,,-1,1,1,-1,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,,0,4,3,0,1,,1,,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,0,0,20,12,1,0,-1,1,,1,1,,0,,,,,,0,1,1,0,1,1,1,0,0,,1,1,,0,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,2,0,17,9,2,0,1,1,,1,1,0,0,,,,,,0,-1,1,1,0,1,0,1,1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,,0,4,0,0,0,,,,,,0,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,0,0,17,6,6,1,0,0,,0,-1,-1,-1,,,,,,,1,1,0,-1,1,1,,0,,,-1,,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,2,0,14,11,3,1,1,1,,1,1,1,-1,,,,,,,,,,,1,1,1,-1,,,-1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,0,0,20,9,7,0,-1,1,,0,-1,0,-1,,,,,,1,0,1,1,1,1,1,1,,,-1,-1,,-1,1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,0,0,13,5,4,-1,0,0,,1,,,-1,,,,,,,,1,1,,,0,-1,1,,,,,1,-1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,2,0,18,14,2,1,,1,,1,1,1,,,,,,,0,0,1,1,1,-1,,1,1,,-1,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,0,0,11,6,2,-1,1,1,,1,1,-1,0,,,,,,,0,,,1,,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,2,0,22,11,5,1,1,1,,1,-1,-1,-1,,,,,,1,-1,1,0,0,1,0,1,0,,0,-1,,1,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,2,0,25,17,3,0,1,1,,1,1,0,-1,,,,,,1,-1,1,-1,0,1,1,1,1,,0,1,1,1,1,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,0,0,11,4,2,0,,1,,,0,1,,,,,,,,,,1,,1,,-1,0,,0,-1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,2,0,9,6,1,1,1,,,,0,,-1,,,,,,,,,,,,1,,1,,1,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,2,0,22,13,1,1,1,0,,1,1,1,1,,,,,,1,-1,1,1,0,0,0,0,0,,1,0,,1,1,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,2,0,22,16,4,1,1,1,,1,-1,1,-1,,,,,,1,0,1,1,1,1,1,1,1,,-1,1,,1,1,,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,2,0,22,16,6,1,1,1,,1,-1,-1,-1,,,,,,1,-1,1,1,1,1,1,1,1,,-1,-1,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,0,0,8,5,1,-1,,,,,1,1,,,,,,,,0,,,1,,,,,,0,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,1,0,7,5,2,-1,,,,,,,,,,,,,1,-1,,,,,,,1,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,0,0,21,9,2,0,1,1,,1,0,0,-1,,,,,,0,0,1,,0,0,0,-1,1,,0,1,,1,1,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,0,0,8,5,2,1,-1,,,,0,1,,,,,,,,,1,,1,,,-1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,2,0,32,25,4,1,1,1,,1,1,1,1,,,,,,,-1,1,1,,,1,1,1,,-1,1,1,1,1,,1,1,0,1,,,,,,,,,,,,1,1,,-1,,0,,,,,,,1,,,,,1,,,1,,,,,,0,,,,,,,1,-1,,
394,0,0,20,10,0,1,1,0,,0,0,0,0,,,,,,1,0,1,,0,0,1,,0,,1,1,,1,1,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,2,0,22,16,3,0,1,1,,1,0,1,-1,,,,,,0,-1,1,1,1,1,1,1,1,,-1,1,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,2,0,16,10,2,1,1,,,,0,0,,,,,,,1,-1,1,,1,1,0,1,1,,-1,0,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,2,0,18,12,2,0,1,1,,1,1,1,0,,,,,,0,-1,,0,,1,,1,,,-1,1,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,2,0,22,15,0,1,1,1,,1,1,1,0,,,,,,1,0,1,1,1,0,1,1,1,,0,0,,1,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,,0,5,1,0,0,1,,,,,,0,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,1,0,23,12,6,-1,-1,1,,1,-1,0,0,,,,,,0,-1,1,1,1,0,1,1,1,,1,-1,1,1,1,,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,,0,3,0,0,0,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,0,0,12,5,3,-1,,,,,-1,1,,,,,,,0,,1,0,,1,,1,,,,,0,-1,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,0,0,9,3,3,1,,,,1,0,-1,-1,,,,,,0,,,,,,,,,,-1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,0,0,15,3,0,0,0,0,,,0,0,0,,,,,,0,0,1,,,0,1,,0,,0,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,0,1,8,5,3,-1,,,,1,1,,,,,,,,,1,,,,-1,,,,,-1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,1,1,26,11,4,0,0,1,,-1,0,0,-1,,,,,,0,-1,1,0,1,0,1,1,1,,-1,0,0,1,1,,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,,0,2,1,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,2,0,9,5,2,0,,1,,1,,0,,,,,,,,-1,1,,,,,,,,-1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,0,0,12,7,1,1,,1,,,,0,-1,,,,,,,,,,,,1,0,,,1,1,1,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,2,0,25,12,3,0,1,1,,1,0,1,0,,,,,,0,-1,1,0,0,1,-1,1,1,,1,1,0,-1,1,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,2,0,24,14,2,1,1,,,0,0,0,-1,,,,,,0,-1,1,1,1,1,1,1,1,,0,1,0,1,1,,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,2,0,18,13,0,1,1,1,,1,0,,,,,,,,0,,1,1,,,1,1,1,,0,1,1,1,,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,2,0,18,13,3,1,1,,,1,1,1,-1,,,,,,1,0,,-1,,1,-1,,1,,,1,0,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,0,0,8,6,0,1,,,,,,,0,,,,,,0,,,,1,1,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
