participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
54,,0,17,10,5,1,-1,-1,1,-1,0,1,1,1,1,1,-1,1,-1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,0,12,10,2,1,1,-1,,-1,,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,23,42,36,3,1,1,-1,0,-1,0,0,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
59,,0,24,11,11,1,-1,,1,,,,,-1,1,1,1,1,-1,,,1,,,-1,-1,1,,-1,1,-1,,,,-1,1,,,0,1,-1,-1,0,,-1,,,,,
60,,2,35,18,3,1,-1,0,1,1,0,0,1,0,-1,1,1,,,,,1,1,-1,0,,0,,0,0,0,1,1,1,1,1,0,1,,1,0,0,1,0,0,1,1,,,
64,,0,30,22,1,1,-1,1,1,0,0,,1,1,,1,0,1,0,0,1,,1,1,1,1,1,,,1,0,1,,1,,,1,1,1,,,1,,1,,1,0,,,
66,,0,11,7,3,-1,,,,-1,-1,,,,1,,0,,,1,1,,,1,,,,,,,,,,,,,1,,1,,1,,,,,,,,,
72,,0,43,34,9,1,-1,1,-1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,,
73,,1,44,31,9,-1,-1,-1,1,1,-1,0,0,0,0,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,1,1,1,1,
76,,0,18,9,1,0,,1,0,-1,,0,,,,,,,,,0,,1,0,,,1,1,,,,,1,,1,,,0,0,,,,,1,1,1,,0,,
82,,0,45,40,1,1,1,1,0,0,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
91,,0,18,13,4,1,-1,1,,,,1,,,-1,,,1,,,,,1,-1,1,,,1,0,,1,,,,1,,1,,,,1,,1,,-1,,,,1,
92,,0,32,13,4,0,0,0,0,0,,1,1,1,,,-1,,-1,-1,0,0,,,1,,1,0,0,1,0,,,,1,1,1,0,1,,0,1,0,1,1,,0,0,,-1
93,,0,34,28,6,-1,-1,-1,1,1,1,1,1,,1,1,,1,-1,,1,,1,1,1,,1,1,1,1,1,1,1,,-1,,1,1,1,1,,1,1,,1,1,,1,,-1
95,,0,45,30,4,-1,-1,1,1,0,0,0,1,0,1,1,0,1,-1,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,-1
97,,0,2,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,0,1,1,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,0,1,0,1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,0,1,0,1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,0,5,5,0,,1,1,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
68,,0,38,32,6,,-1,1,1,1,1,1,-1,-1,1,,-1,1,,,1,-1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,,
