participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,0,7,23,12,3,0,0,0,0,0,0,1,1,0,-1,-1,1,1,-1,1,0,1,1,1,1,1,1,1,,,,,,,
3,1,0,9,7,1,1,-1,1,1,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,,
4,1,0,9,8,1,1,-1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
5,1,6,15,13,2,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
6,0,3,28,13,12,1,-1,1,1,1,-1,1,-1,1,-1,-1,1,1,-1,-1,1,1,1,0,-1,-1,-1,-1,-1,1,1,0,0,,
7,1,0,9,7,2,1,-1,1,1,1,1,-1,1,1,,,,,,,,,,,,,,,,,,,,,
8,1,0,7,5,2,-1,-1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,
9,1,0,9,6,0,1,0,1,1,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,
10,1,0,15,8,4,1,0,1,1,1,1,1,-1,1,0,1,-1,0,-1,-1,,,,,,,,,,,,,,,
11,1,0,9,3,1,0,-1,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
12,1,0,9,5,3,-1,-1,1,1,1,1,-1,0,1,,,,,,,,,,,,,,,,,,,,,
16,1,0,15,8,3,-1,0,0,1,1,1,0,0,1,1,1,1,1,-1,-1,,,,,,,,,,,,,,,
17,0,0,15,6,5,1,0,1,-1,-1,-1,0,1,-1,1,0,1,0,1,-1,,,,,,,,,,,,,,,
18,1,0,15,10,3,1,-1,1,1,1,1,0,0,1,1,1,1,1,-1,-1,,,,,,,,,,,,,,,
19,0,0,7,3,0,0,0,,1,,,0,0,1,,,1,,,,,,,,,,,,,,,,,,
20,1,0,15,10,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
21,0,0,14,9,3,1,-1,1,1,1,-1,0,0,1,1,,1,1,1,-1,,,,,,,,,,,,,,,
24,1,0,15,13,2,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,,,,,,,,,,,,,,,
26,0,0,15,8,6,-1,-1,1,1,1,-1,1,-1,1,1,0,1,1,-1,-1,,,,,,,,,,,,,,,
28,0,0,15,6,5,-1,1,1,1,0,0,0,-1,1,-1,1,0,1,-1,-1,,,,,,,,,,,,,,,
31,1,1,16,9,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,1,,,,1,,,,,,,,,,,
33,,0,4,0,0,0,0,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,
34,1,0,10,7,0,0,,,1,1,1,0,1,,1,1,1,,,0,,,,,,,,,,,,,,,
35,1,0,15,11,4,-1,-1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,,,,,,,,,,,,,,,
36,0,0,15,7,5,-1,1,-1,1,1,-1,0,0,1,1,0,1,1,-1,-1,,,,,,,,,,,,,,,
37,1,0,15,7,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,,,,,,,,,,,,,,,
38,0,0,15,8,5,1,-1,1,1,-1,-1,0,0,1,1,1,1,1,-1,-1,,,,,,,,,,,,,,,
39,1,0,28,13,6,1,-1,1,1,1,1,0,0,1,0,-1,1,1,-1,-1,0,0,1,0,1,0,1,-1,1,1,0,0,-1,,
41,0,0,15,11,3,-1,1,1,1,1,-1,1,0,1,1,1,1,1,1,-1,,,,,,,,,,,,,,,
