participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
43,0,0,9,3,1,1,1,,1,,0,,0,,0,,,0,-1,0,,,,,,,,,,,,,,,
45,1,0,15,9,5,-1,-1,1,1,1,1,1,0,1,1,-1,1,1,-1,-1,,,,,,,,,,,,,,,
48,1,0,19,14,2,1,-1,1,1,1,1,0,1,1,1,1,0,1,0,-1,1,1,1,1,,,,,,,,,,,
49,0,0,19,10,6,-1,1,1,1,-1,-1,0,0,-1,0,1,1,1,-1,-1,1,1,1,1,,,,,,,,,,,
50,1,1,20,15,5,1,1,1,-1,1,1,1,-1,1,1,-1,1,1,-1,-1,1,1,1,1,1,,,,,,,,,,
52,1,0,19,11,6,-1,0,1,1,1,1,0,-1,1,1,-1,1,1,1,-1,-1,1,1,-1,,,,,,,,,,,
53,1,0,12,5,0,0,0,0,,1,0,,,,1,0,,,0,,1,1,0,1,,,,,,,,,,,
55,1,0,14,12,1,1,1,1,1,1,,,1,1,1,,,,1,-1,1,1,1,0,,,,,,,,,,,
56,0,1,15,6,9,-1,1,,1,-1,-1,-1,,,-1,-1,1,-1,1,-1,-1,1,,,,,1,,,,,,,,
57,0,1,21,13,2,0,1,-1,1,1,-1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,,,,,,,,,
58,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
60,1,0,20,16,2,1,-1,1,1,1,0,1,1,1,1,0,1,1,1,-1,1,1,1,1,1,,,,,,,,,,
61,1,0,20,16,1,-1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
62,0,1,27,16,11,1,-1,1,1,1,-1,1,1,1,-1,1,1,1,-1,-1,1,1,-1,-1,-1,-1,1,1,,1,-1,-1,1,,
68,0,0,23,13,6,-1,0,1,1,1,0,1,1,0,1,1,1,1,-1,0,1,1,-1,1,1,-1,-1,-1,,,,,,,
70,1,0,23,17,3,1,1,1,1,1,1,0,0,1,1,1,1,1,1,-1,1,-1,1,1,1,-1,0,1,,,,,,,
71,1,1,24,17,5,1,-1,-1,1,1,1,0,0,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,,,,,,
72,0,0,23,16,6,-1,0,1,1,1,-1,1,-1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,-1,,,,,,,
73,,1,5,4,0,1,,1,,,,,,,,,,,,,,,1,,0,,,,,1,,,,,
75,0,0,23,13,5,0,1,0,1,1,1,1,-1,1,1,-1,1,0,-1,-1,1,1,1,1,0,-1,1,0,,,,,,,
76,1,0,23,14,3,-1,0,1,-1,0,0,0,0,1,1,1,-1,1,1,1,1,1,1,1,1,1,0,1,,,,,,,
77,1,0,19,13,6,-1,,1,,1,1,1,-1,1,1,-1,1,1,-1,-1,1,,1,,1,1,-1,1,,,,,,,
78,1,0,23,15,8,1,-1,-1,1,1,1,1,-1,1,1,-1,1,-1,-1,-1,1,1,-1,1,1,1,1,1,,,,,,,
79,1,0,23,10,2,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1,-1,1,0,-1,,,,,,,
82,1,0,23,13,4,0,0,0,1,1,1,0,0,1,1,1,-1,1,-1,-1,1,1,1,1,1,1,-1,0,,,,,,,
84,1,0,10,8,1,1,,,,,1,0,,1,1,,,,,1,,,-1,1,,,1,1,,,,,,,
85,1,0,15,14,1,1,-1,1,,1,,1,,1,,1,,1,1,,1,1,1,,,1,1,1,,,,,,,
87,0,0,26,15,11,-1,1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,1,1,-1,1,-1,-1,-1,1,1,1,1,,,,
89,0,0,18,9,9,-1,1,,-1,1,,1,,,1,-1,-1,1,-1,-1,-1,,1,-1,,1,,-1,,1,1,,,,
93,0,0,26,13,12,1,-1,1,1,1,-1,0,1,1,-1,-1,1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,,,,
96,1,1,27,17,1,0,0,,1,1,1,0,0,1,1,1,1,1,-1,1,1,1,1,1,1,1,0,0,0,0,0,1,,,1
97,,0,6,3,2,-1,,1,1,,-1,,,,,1,,,,,,,,,,,,,0,,,,,,
98,1,0,28,18,6,0,-1,0,1,1,1,0,0,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,-1,1,-1,1,1,-1,,
102,0,0,28,7,2,0,0,0,0,0,0,0,0,0,0,1,1,1,-1,0,1,1,1,0,0,0,0,0,0,1,-1,0,0,,
103,0,0,26,14,5,-1,1,-1,1,1,0,0,0,1,0,1,,1,-1,-1,1,1,1,1,,1,1,0,0,1,1,0,-1,,
104,0,0,28,13,7,-1,0,1,1,1,1,0,0,1,-1,0,1,1,-1,-1,0,1,1,1,0,0,1,0,-1,-1,1,1,-1,,
108,1,0,28,21,7,-1,-1,1,1,1,1,-1,-1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,,
109,0,0,28,11,4,-1,0,1,1,0,-1,0,0,1,1,0,1,1,0,-1,0,1,1,0,0,0,-1,0,1,1,0,0,1,,
111,0,0,28,16,8,-1,1,0,1,1,0,1,1,1,-1,-1,1,-1,-1,-1,1,1,1,1,1,1,-1,0,1,1,1,0,-1,,
112,0,0,14,5,0,0,0,0,1,0,0,,0,,,,,,0,,1,,1,1,,0,,0,1,,,,,,
114,1,0,28,14,3,0,0,1,1,1,0,0,0,1,1,0,0,1,-1,-1,1,1,0,1,1,1,0,0,1,0,1,1,-1,,
120,0,0,28,11,10,0,-1,0,1,-1,-1,0,0,-1,1,1,1,1,-1,-1,1,1,1,0,1,-1,1,-1,1,0,-1,0,-1,,
127,0,0,9,6,2,1,,,,,,,0,1,,,,,,-1,1,,,,,,1,,1,1,,,-1,,
133,1,0,14,9,2,-1,,,,1,,-1,0,1,,,1,,1,,1,,,1,1,1,0,0,,1,,,,,
134,1,0,28,19,4,1,0,1,1,1,1,0,-1,1,1,1,1,1,-1,1,1,1,1,0,1,-1,1,0,0,1,1,1,-1,,
139,1,0,14,7,1,1,0,0,1,,1,0,0,,,,0,,,1,1,,,,,,,,,1,1,0,-1,,
142,0,0,9,0,0,0,,0,,,,,0,,,,,,,,,0,,0,0,,0,,,,0,,0,,
146,0,0,28,8,3,0,0,0,1,1,0,1,0,1,0,0,1,0,-1,-1,0,0,0,1,1,0,0,0,0,0,0,1,-1,,
149,1,0,28,20,8,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,-1,-1,-1,1,1,1,1,-1,,
153,0,0,28,12,7,0,1,0,-1,1,1,0,0,1,1,0,1,1,-1,-1,0,1,1,1,1,-1,0,0,-1,-1,0,1,-1,,
159,,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,,0,3,1,1,1,,,,,,,,,,,,,,-1,,,,,,,,,,,,0,,,
167,1,0,8,6,0,0,0,,,,,,,,1,1,,1,,,,,,1,,,1,,1,,,,,,
168,1,0,28,14,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,0,1,0,1,0,1,1,-1,,
29,0,0,11,8,1,,1,0,1,1,-1,0,1,,,1,1,1,1,,,,,,,,,,,,,,,,
44,1,0,10,7,2,,-1,1,,1,-1,,1,1,,1,1,,0,1,,,,,,,,,,,,,,,
47,,0,1,1,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,0,6,3,0,,0,,,,,0,,,,0,,,1,,,,1,1,,,,,,,,,,,
54,0,0,15,9,6,,-1,1,1,1,-1,,-1,,1,1,1,,-1,-1,1,1,,-1,1,,,,,,,,,,
63,,0,6,5,0,,1,1,,,,,0,1,,,,,,,1,,,1,,,,,,,,,,,
65,1,0,8,8,0,,1,1,1,,1,,,1,,1,,,1,,,,1,,,,,,,,,,,,
88,1,1,24,19,3,,1,-1,1,,0,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,,0,1,1,,,
91,,0,5,3,0,,0,,1,,,,0,1,,,,,,,,,1,,,,,,,,,,,,
95,1,0,16,11,1,,0,1,1,1,,0,,1,,,,1,,0,1,1,1,,1,,1,1,,0,,,-1,,
115,,0,3,3,0,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,
121,,0,6,3,3,,1,,,,,,,,1,,,,,,,,,-1,,-1,-1,,,,,,1,,
128,1,0,10,9,1,,-1,,,1,,1,,,,1,,1,1,,,,,,1,1,,,,1,,,1,,
129,0,0,14,8,1,,1,,1,1,0,,0,1,,,0,,,,,,,1,0,,,0,,1,1,1,-1,,
130,0,0,8,6,2,,1,,1,,,,,,,,1,,-1,,,,,,,,,,1,1,1,,-1,,
143,0,0,11,6,3,,-1,1,1,,,0,,1,,,1,,,,1,,,0,,,-1,,-1,,,,1,,
144,,0,5,0,0,,0,,,0,,,0,,,0,,,,,,,0,,,,,,,,,,,,
151,1,0,8,6,1,,1,,,,1,,,,,1,,,,,,1,1,0,,,,,,1,,,-1,,
160,0,0,13,3,3,,0,-1,,1,,,,1,,,1,,,,0,,,0,,-1,,,0,0,0,0,-1,,
15,0,0,10,4,1,,,1,,,0,0,0,1,1,0,,1,-1,0,,,,,,,,,,,,,,,
66,,0,3,0,0,,,0,,,0,,,,,,,,,,,0,,,,,,,,,,,,,
67,,0,5,3,0,,,1,,,,,0,,,,,,,,,,1,,,1,,0,,,,,,,
80,0,1,14,1,0,,,0,0,0,0,0,0,,,,,,0,0,,0,0,0,,0,,0,,,1,,,,
86,,0,2,1,0,,,0,,,,,,,,,,,,,,,,,,,1,,,,,,,,
118,,0,5,2,3,,,1,,,,,,,,,,,,,,,,,1,-1,,,,-1,,,-1,,
126,1,0,12,8,1,,,1,1,,1,,0,1,1,0,,,,,1,,1,,,,,0,,1,,,-1,,
145,1,0,8,7,0,,,1,,,1,,,1,,,,1,,1,,,1,,,,,,0,,1,,,,
152,1,0,7,5,1,,,1,,,1,,,,,0,1,,-1,,,,,,,1,1,,,,,,,,
170,1,0,8,4,0,,,1,,,,,,1,,,,0,,0,,,1,,,,,1,0,0,,,,,
172,,0,2,1,1,,,1,,,,,,,,,,,,-1,,,,,,,,,,,,,,,
27,,0,2,2,0,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,
74,1,0,10,6,0,,,,1,,1,,0,,1,0,1,,0,0,,,,,1,,1,,,,,,,,
123,,0,3,3,0,,,,1,,,,,,,,,,,,1,,1,,,,,,,,,,,,
124,,0,1,1,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
83,1,0,15,10,5,,,,,1,1,-1,-1,,,1,1,1,-1,-1,1,1,1,,,1,1,-1,,,,,,,
106,,0,1,1,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
135,,0,1,1,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
156,,0,6,4,0,,,,,1,,0,,,,,1,,,0,1,,,,,,1,,,,,,,,
25,,0,5,4,1,,,,,,1,,,1,1,,,1,,-1,,,,,,,,,,,,,,,
46,,0,1,1,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
64,,0,1,1,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
107,,0,1,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
110,1,0,9,5,1,,,,,,1,,0,,1,,,-1,,,0,,1,1,1,,,,,0,,,,,
125,1,0,8,5,1,,,,,,0,,,,,1,,,,1,,,1,,,,1,0,,,,1,-1,,
169,0,0,7,4,1,,,,,,-1,,,,,0,0,,,1,,,1,,,,,,,1,,,1,,
1,,1,1,1,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
2,,1,1,1,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
42,,0,2,1,0,,,,,,,,0,,,,,1,,,,,,,,,,,,,,,,,
69,,0,1,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
165,,0,1,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
174,,0,1,1,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
30,,0,2,2,0,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,
136,,0,1,1,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
137,,0,1,1,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
23,,0,1,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
59,,0,1,1,0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
100,,0,4,2,2,,,,,,,,,,1,,,1,-1,-1,,,,,,,,,,,,,,,
164,,0,2,1,0,,,,,,,,,,1,,,,,,,,,,,,,,0,,,,,,
173,,0,1,1,0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
141,,0,2,2,0,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,
171,,0,2,1,1,,,,,,,,,,,1,,,,,,,,,,-1,,,,,,,,,
113,,0,2,2,0,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,
131,,0,2,2,0,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,
32,,0,1,1,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
40,,0,1,1,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
101,,0,6,4,2,,,,,,,,,,,,,1,-1,,1,,1,,1,-1,,,,,,,,,
140,,0,1,1,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
22,,0,1,1,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
122,,0,1,0,1,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,
90,,0,1,1,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
99,,0,1,0,1,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,
147,,0,2,1,0,,,,,,,,,,,,,,,0,,,1,,,,,,,,,,,,
148,,0,1,0,1,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,
166,,0,1,0,1,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,
161,,0,1,0,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
132,,0,3,2,0,,,,,,,,,,,,,,,,,1,,,,,,0,,1,,,,,
150,,0,1,1,0,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
116,,0,1,1,0,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
117,,0,1,1,0,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
157,,0,1,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
81,,0,2,2,0,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,
138,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
158,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
105,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
92,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
163,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
94,,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
154,,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,
155,,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,
119,,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
