participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6
0,1,7,7,0,0,0,0,0,0,0,0,0
1,0,0,7,5,1,1,1,-1,0,1,1,1
2,2,0,7,6,0,1,1,1,1,1,0,1
3,2,0,7,5,0,1,0,0,1,1,1,1
5,1,0,7,1,0,1,0,0,0,0,0,0
6,0,0,6,3,3,1,1,-1,-1,1,-1,
7,1,0,7,1,0,0,0,0,0,0,0,1
8,0,0,7,4,3,1,1,-1,-1,1,-1,1
9,0,0,7,4,1,1,0,-1,1,1,0,1
10,0,0,7,4,1,1,0,-1,1,1,0,1
12,2,0,7,5,2,1,-1,-1,1,1,1,1
13,1,0,6,1,0,1,0,0,0,0,,0
15,0,0,7,2,1,0,0,-1,1,0,0,1
17,2,0,7,4,0,1,0,0,0,1,1,1
18,2,0,7,3,0,0,0,0,1,1,0,1
19,2,0,7,6,1,1,1,-1,1,1,1,1
20,,0,6,4,1,1,,1,-1,0,1,1
21,1,0,7,5,1,1,0,1,1,1,1,-1
22,1,0,6,3,1,1,-1,1,0,1,0,
23,0,0,7,2,3,1,0,-1,0,-1,-1,1
24,2,0,7,7,0,1,1,1,1,1,1,1
26,,0,3,2,0,0,,,,1,1,
14,1,0,1,1,0,,,1,,,,
16,,0,1,0,0,,,0,,,,
4,2,0,3,3,0,,,,1,,1,1
11,2,0,1,1,0,,,,,,1,
25,,0,1,1,0,,,,,,,1
