participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0,7,7,0,0,0,0,0,0,0,0,0,,,,,,,,
1,1,0,7,0,7,-1,-1,-1,-1,-1,-1,-1,,,,,,,,
2,0,0,6,4,2,-1,1,-1,1,1,1,,,,,,,,,
3,0,0,3,2,1,-1,1,,,1,,,,,,,,,,
4,0,5,13,9,1,-1,0,0,1,0,1,,1,1,1,1,1,1,1,
5,0,0,11,6,2,1,1,0,1,0,-1,,0,1,1,-1,1,,,
6,0,0,11,5,5,-1,0,1,-1,1,-1,,1,-1,1,-1,1,,,
7,0,0,11,6,2,-1,1,0,1,1,0,,1,0,1,-1,1,,,
8,0,0,11,4,3,-1,0,1,-1,-1,1,,1,0,1,0,0,,,
9,0,0,11,5,1,0,1,0,0,0,0,,1,1,1,-1,1,,,
10,0,0,1,0,1,-1,,,,,,,,,,,,,,
11,0,0,9,2,0,0,1,1,0,0,0,,0,0,,0,,,,
12,0,0,4,3,1,1,1,,1,,,,,,,-1,,,,
13,1,0,11,2,5,0,-1,0,0,-1,-1,,-1,1,0,1,-1,,,
14,0,0,11,7,1,0,1,1,1,1,0,,1,0,1,-1,1,,,
15,0,0,11,9,2,1,1,1,-1,1,1,,1,1,1,-1,1,,,
16,0,0,10,4,4,-1,1,1,1,1,0,,-1,,0,-1,-1,,,
18,0,0,11,8,1,0,1,1,0,1,1,,1,-1,1,1,1,,,
21,0,0,11,7,4,-1,1,1,-1,-1,1,,1,1,-1,1,1,,,
24,0,0,11,4,3,0,0,-1,0,0,1,,1,1,1,-1,-1,,,
27,,0,5,5,0,1,1,,1,1,,,1,,,,,,,
28,0,0,11,4,4,-1,0,1,1,0,-1,,0,-1,1,-1,1,,,
29,0,0,9,3,2,1,,0,0,1,0,,1,-1,,-1,0,,,
30,1,1,11,3,6,-1,-1,-1,0,-1,1,,-1,-1,,1,0,1,,
31,0,0,12,7,5,-1,-1,1,-1,1,1,,1,-1,1,-1,1,1,,
32,0,0,8,5,3,1,-1,1,-1,,1,,,1,1,-1,,,,
33,0,0,11,4,1,0,0,1,0,1,0,,1,-1,0,0,1,,,
34,0,0,11,6,4,-1,0,1,-1,-1,1,,1,1,1,-1,1,,,
36,0,0,11,5,5,-1,1,-1,-1,1,1,,-1,1,1,-1,0,,,
37,,0,5,2,0,1,,0,0,,,,1,0,,,,,,
38,0,0,10,3,4,-1,1,1,0,0,-1,,1,0,,-1,-1,,,
41,,0,1,0,1,-1,,,,,,,,,,,,,,
42,0,1,8,1,0,0,,,,,0,,,0,,0,0,0,1,0
43,1,0,13,3,3,-1,-1,0,-1,0,0,,0,1,1,0,0,0,1,
44,,1,5,2,0,0,1,,0,,0,,,,,,,,,1
45,0,0,7,3,2,1,1,0,-1,,,,,,,-1,,1,0,
48,0,0,14,3,2,-1,0,0,0,0,1,,0,-1,0,0,1,1,0,0
52,0,0,14,9,0,1,1,0,0,1,1,,1,1,1,0,1,1,0,0
53,0,0,14,11,3,1,-1,1,-1,1,1,,1,1,1,-1,1,1,1,1
54,0,0,14,12,2,-1,1,1,1,1,1,,1,1,1,-1,1,1,1,1
57,,0,1,0,0,0,,,,,,,,,,,,,,
59,0,0,14,9,4,-1,1,1,0,-1,1,,1,-1,1,-1,1,1,1,1
60,0,0,11,8,3,1,1,,-1,1,1,,1,-1,,-1,1,1,1,
61,0,0,14,7,3,-1,0,0,1,1,1,,1,0,-1,-1,1,1,0,1
62,0,0,14,9,3,-1,1,1,0,0,1,,1,1,1,-1,1,1,1,-1
64,,0,5,0,1,0,0,,,,,,,,0,0,,,-1,
65,0,0,11,5,1,0,,1,0,0,0,,1,-1,1,1,,,0,1
66,0,0,13,5,3,1,0,-1,-1,1,1,,1,0,,-1,1,0,0,0
17,,0,1,1,0,,1,,,,,,,,,,,,,
25,,0,2,2,0,,1,,,,,,,1,,,,,,
26,,0,2,1,0,,1,,,,,,,,,,0,,,
51,0,0,9,6,2,,1,1,,0,1,,1,-1,,-1,,1,,1
56,0,0,6,1,0,,1,0,,,,,,,0,,0,,0,0
19,,0,4,4,0,,,1,,1,,,,1,,,1,,,
23,,0,3,0,1,,,-1,0,,0,,,,,,,,,
49,,0,2,2,0,,,1,,,,,,,,,,,1,
67,,0,4,3,0,,,0,,,1,,,,,,,1,,1
55,,0,3,3,0,,,,1,1,,,1,,,,,,,
20,,0,2,2,0,,,,,1,1,,,,,,,,,
22,,0,1,1,0,,,,,1,,,,,,,,,,
35,,0,1,1,0,,,,,1,,,,,,,,,,
40,,0,1,1,0,,,,,,1,,,,,,,,,
63,,0,5,5,0,,,,,,,,,1,1,,1,,1,1
50,,0,1,1,0,,,,,,,,,,1,,,,,
39,,0,1,0,1,,,,,,,,,,,-1,,,,
47,,0,1,0,1,,,,,,,,,,,-1,,,,
46,,0,1,1,0,,,,,,,,,,,,1,,,
58,,0,1,1,0,,,,,,,,,,,,,,,1
