participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
50,,0,11,7,2,,,,,,1,1,,0,,,,,,,1,1,-1,0,,1,,,1,-1,,,,,1
51,,0,10,7,1,,,,,,1,1,,,,,,,,,,,1,,,1,0,,1,-1,1,,0,,1
47,,0,14,7,6,,,,,,,1,-1,1,,1,,-1,-1,-1,,1,1,,0,,-1,,,-1,1,,,,1
37,,0,6,4,1,,,,,,,,1,1,,,,,,,,,1,,,,,,,-1,0,,,1,
9,,0,2,1,1,,,,,,,,,,,,1,,,,,,,-1,,,,,,,,,,,
11,,0,1,1,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
16,,0,4,4,0,,,,,,,,,,,,,,1,1,1,,1,,,,,,,,,,,,
23,,0,1,0,1,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,
49,,0,1,0,1,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,
24,,0,1,1,0,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
46,,0,3,3,0,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,1
