comment_body,id,idx,n_agree,n_disagree,percentage
"小編是社群經營的靈魂嗎？",1,1,32,12,72.72
"要打破同溫層，就要不斷地創新？",2,3,28,14,66.66
"沒有所謂的同溫層，人本來就是物以類聚？",3,2,20,20,50
"粉絲數量是衡量社群行銷的重要指標嗎？",4,6,17,23,42.5
"所謂「酸民」只是普通人把自己的想法和感受直接表達出來嗎？",5,5,7,32,17.94
"TA 已經過時了，只要把內容做好，大家就會喜歡？",6,0,6,32,15.78
"社群時代的危機處理就是冷處理嗎？",7,4,3,42,6.66
